id,radius1,lambda1,lambda2,convexity,sphericity,varCurv,intCurv,b1,b2,muK,IK2,varK
1,1.0969944071e-01,4.3913671826e-01,3.5234194542e-01,9.8780312403e-01,8.1996338363e-01,2.1024991701e-01,4.4743669997e+00,4.6600000000e-01,3.4050000000e-01,3.9894939018e+00,2.7490159799e-01,4.0108990899e+00
2,1.1925055524e-01,4.6299196927e-01,3.0589387258e-01,8.7040892359e-01,6.6276791879e-01,1.7659135655e-01,2.5918948895e+00,4.3220000000e-01,4.0210000000e-01,5.1832421472e+00,2.6184617737e-01,5.7478088590e+00
3,-1.3123739988e-02,4.6225839027e-01,3.6933728359e-01,8.5129683488e-01,6.0732795921e-01,2.1899377744e-01,2.9347887489e+00,5.3710000000e-01,3.0110000000e-01,6.1550719559e+00,3.4726979078e-01,6.8749614341e+00
4,2.1735046445e-01,3.5998914903e-01,3.3038409638e-01,9.9950206756e-01,1.0000000000e+00,3.5881070869e-02,1.0736744495e+01,3.5270000000e-01,3.4390000000e-01,2.6261983948e+00,1.5556891659e-01,2.3319093522e+00
5,1.9600863295e-02,4.5379470875e-01,2.9881467033e-01,9.9617184036e-01,7.4737327464e-01,1.1482255025e-01,2.8386546828e+00,4.4760000000e-01,3.8710000000e-01,4.5393475069e+00,3.1123892823e-01,4.7077562653e+00
6,6.4894703544e-02,4.3891696395e-01,3.9212463546e-01,7.5921410160e-01,7.2503970887e-01,2.1317875452e-01,2.0245785231e+01,4.6460000000e-01,2.9260000000e-01,3.2578775568e+00,2.6428169928e-01,3.2416921478e+00
7,1.3300065081e-01,4.1558508914e-01,3.1194381415e-01,9.9817830115e-01,9.0198582575e-01,1.7921104601e-01,6.0297680982e+00,4.0830000000e-01,3.6550000000e-01,3.3151838209e+00,2.2737239568e-01,3.3061610959e+00
8,2.6533044129e-01,3.9630698308e-01,3.2207650181e-01,9.9852412825e-01,9.0536299122e-01,2.8140558826e-01,7.2381418039e+00,3.9400000000e-01,3.5330000000e-01,3.9284085813e+00,1.8679042622e-01,4.0017603809e+00
9,3.2549139605e-02,4.5155800190e-01,3.0193176208e-01,9.9586136814e-01,7.2315186026e-01,9.8778732496e-02,2.4892416752e+00,4.5200000000e-01,3.9100000000e-01,4.7036991702e+00,3.1621914986e-01,4.9878633974e+00
10,1.5165556663e-01,4.4221704371e-01,2.9356407197e-01,9.9768870708e-01,7.6794654155e-01,2.3376495029e-01,4.3931978639e+00,4.2560000000e-01,3.9830000000e-01,4.6049927393e+00,2.4913209573e-01,4.3859871674e+00
11,3.0185437193e-01,3.5171529756e-01,3.3198036987e-01,9.9995873518e-01,1.0000000000e+00,8.3148581074e-04,1.2970908487e+01,3.4680000000e-01,3.3600000000e-01,2.0346804675e+00,2.8258351848e-02,1.5928008351e+00
12,2.7946310836e-01,3.8985488510e-01,3.1491871627e-01,9.9643142765e-01,9.2079436084e-01,2.7291138543e-01,7.4622660289e+00,3.8080000000e-01,3.5830000000e-01,3.6742838970e+00,1.6748639865e-01,3.2610802854e+00
13,-2.4746401070e-01,4.8121953937e-01,2.9451760268e-01,9.9475638592e-01,4.6421403769e-01,1.1143726073e-02,3.0871043799e-01,4.9180000000e-01,4.2490000000e-01,7.0790857347e+00,4.2432125724e-01,8.0931650890e+00
14,-3.5000482553e-02,4.6502464174e-01,2.8487468190e-01,9.4895440987e-01,6.2320226821e-01,1.1839881512e-01,1.6229015543e+00,4.3880000000e-01,4.2560000000e-01,5.9760691012e+00,3.4403981084e-01,6.5946664925e+00
15,1.7357995901e-01,4.2444541610e-01,3.0564285275e-01,9.9644776979e-01,8.7055220401e-01,2.1884954404e-01,5.8299557135e+00,4.1520000000e-01,3.7390000000e-01,3.5778157650e+00,2.2209975377e-01,3.6472857870e+00
16,4.6655566227e-02,4.5448130394e-01,2.9198129594e-01,9.9598775072e-01,7.3895924161e-01,1.3373299262e-01,2.8162501784e+00,4.4130000000e-01,3.9820000000e-01,4.6019542654e+00,2.9750450750e-01,4.7098781970e+00
17,-4.0185884614e-01,4.6264564912e-01,3.3511058247e-01,9.9235844415e-01,6.7581502300e-01,1.3146603514e-02,1.0805771334e+00,5.0200000000e-01,3.6260000000e-01,4.0984911729e+00,3.0978294525e-01,4.0179264692e+00
18,2.3884874715e-01,4.0887649627e-01,3.0453992402e-01,9.9731419553e-01,9.1754380156e-01,2.1584329647e-01,6.4185806573e+00,3.8410000000e-01,3.7340000000e-01,3.2398138475e+00,1.7021834233e-01,3.1168537634e+00
19,-5.7194662185e-01,4.6492002411e-01,3.8508056319e-01,9.8055958484e-01,7.1750674914e-01,8.9528598657e-02,2.3202093373e+00,5.6180000000e-01,2.9450000000e-01,3.5487649418e+00,2.6341245832e-01,3.7350345964e+00
23,3.0997601683e-01,3.6046337016e-01,3.3374569464e-01,9.6987851902e-01,9.7389765837e-01,2.7821056076e-02,1.2825798869e+01,3.5750000000e-01,3.3740000000e-01,2.5496852237e+00,9.5247896534e-02,7.9108803285e-01
24,2.2742450772e-01,3.5006831934e-01,3.3801408430e-01,9.9931765267e-01,1.0000000000e+00,5.8725532996e-04,1.2778566841e+01,3.6010000000e-01,3.2830000000e-01,2.0298144883e+00,5.3423377151e-02,7.0039850260e-02
25,-1.4252136149e-01,4.6846060883e-01,3.5117526333e-01,4.6663224768e-01,3.6556950032e-01,2.5706343948e+01,9.7413206327e+01,4.5270000000e-01,3.5710000000e-01,1.2365532410e+01,3.3359647811e-01,1.0000000000e+00
26,2.7206802240e-01,3.5530601650e-01,3.4359698493e-01,8.9127700140e-01,9.1360230910e-01,1.2047838852e+00,1.9289165509e+01,4.0330000000e-01,3.0560000000e-01,3.9839900305e+00,3.0634746829e-01,5.3773698829e-01
